00CA   04 22 050
00WI   09 27 087
01A    5  23 070
01LS   09 27 092
01MT   13 31 148
01OL   5  23 050
01WI   01 19 010
04CA   8  26 090
04MS   17 35 180
04NV   02 20 034
04V    10 28 118
04W    06 24 066
05CL   10 28 116
05LS   02 20 022
05NR   16 34 160
05V    03 21 041
06FA   09 27 090
06MO   15 33 157
06N    08 26 062
06TE   08 26 084
07FA   04 22 040
07IA   18 36 177
07MT   10 28 120
07TE   13 31 134
08AN   7  25 090
08MS   07 25 070
09CL   01 19 026
09FA   18 36 180
09TS   09 27 090
0AZ2   17 35 183
0AZ2   12 30 131
0B2    01 19 348
0C1    02 20 019
0C5    18 36 180
0CA9   16 34 173
0CO2   11 29 121
0G0    10 28 091
0I2    09 27 091
0ID2   11 29 110
0KY1   10 28 098
0MI8   4  22 036
0MI8   17 35 170
0MS0   04 22 040
0NE6   17 35 176
0O4    16 34 180
0OH8   03 21 025
0OK3   16 34 170
0R7    17 35 180
0TA7   12 30 128
0TA7   15 33 158
0TA7   05 23 058
0TE4   16 34 165
0TE5   17 35 170
0TE7   17 35 175
0TX1   18 36 185
0WI1   04 22 039
0WI4   08 26 083
0XA4   15 33 156
0XA5   13 31 136
0XS7   13 31 140
10AZ   08 26 090
11II   18 36 177
11LS   09 27 092
11LS   07 25 070
12A    18 36 181
12NC   05 23 047
12NC   01 19 000
12NC   10 28 090
12WV   18 36 169
12WV   6  24 045
13NC   05 23 045
14AZ   06 24 071
14MS   08 26 080
14MS   03 21 030
14NC   05 23 052
14S    12 30 137
14TS   16 34 160
14WS   15 33 140
15AR   14 32 145
15FL   18 36 180
15FL   09 27 090
15MN   05 23 050
16A    18 36 196
16X    17 35 170
17FL   18 36 180
17FL   09 27 090
17TX   17 35 176
17XS   01 19 020
18AZ   06 24 073
18TA   16 34 160
18TE   08 26 091
19AR   09 27 092
19AZ   17 35 183
1AZ0   09 27 102
1CD2   08 26 080
1CO5   08 26 095
1CO5   18 36 193
1D2    18 36 177
1E7    02 20 023
1E7    08 26 089
1H4    17 35 180
1H9    01 19 009
1K1    17 35 176
1K5    17 35 180
1LS0   17 35 174
1MO3   SE NW 155
1MS8   13 31 133
1MY1   09 27 094
1OK3   17 35 164
1S2    10 28 111
1T8    16 34 149
1TE1   13 31 136
1TX6   07 25 076
1TX6   12 30 126
1VA8   13 31 127
1WA6   E  W  088
1WI8   18 36 177
1WN3   12 30 124
1WN3   03 21 031
1XS8   16 34 160
1Y9    17 35 181
20AR   08 26 074
20GA   10 28 097
20MS   18 36 159
21AZ   12 30 133
22XS   15 33 154
23ND   08 26 080
23XS   15 33 152
24AR   18 36 186
24CL   14 32 157
25NC   18 36 173
25TA   09 27 090
25TS   17 35 180
26AR   10 28 106
26N    06 24 047
27AZ   17 35 185
27IA   09 27 090
27W    09 27 109
28TA   14 32 140
29AZ   03 21 046
29AZ   18 36 191
29IA   17 35 173
29N    10 28 096
29TX   15 33 150
2C6    02 20 019
2CL9   07 25 086
2CN4   16 34 176
2D7    10 28 092
2E8    06 24 049
2F6    17 35 180
2F6    S  N  180
2H5    17 35 169
2IG4   18 36 180
2IL9   04 22 039
2J9    14 32 136
2K1    17 35 180
2K1    15 33 157
2K2    17 35 179
2KY5   16 34 156
2NC0   14 32 136
2OR1   04 22 057
2P7    01 19 005
2Q5    06 24 060
2S1    17 35 187
2SC5   08 26 080
2SD9   18 36 180
2TA6   01 19 015
2TA8   13 31 133
2TS6   17 35 175
2TS8   15 33 156
2TX3   18 36 180
2TX4   17 35 170
2VA9   03 21 020
2VG2   NW SE 127
2W2    14 32 125
2WN3   09 27 088
2WN3   18 36 183
2WN5   11 29 106
2XA0   17 35 180
2XS1   18 36 186
2XS2   15 33 156
2XS3   16 34 160
2XS5   17 35 170
2XS8   15 33 156
30GA   14 32 140
30MT   9  27 010
30NE   17 35 180
31VA   02 20 013
31WI   06 24 060
33VT   2  20 020
35XA   12 30 119
36CA   16 34 173
36MI   13 31 125
36MI   7  25 063
36MT   10 28 090
36WI   18 36 180
37I    05 23 114
38C    18 36 180
38XS   14 32 146
39MD   9  27 086
39P    07 25 090
39TE   17 35 180
39TE   08 26 090
3AK2   06 24 082
3AZ5   07 25 084
3B3    16 34 140
3CN7   16 34 180
3D2    14 32 136
3DA    18 36 181
3EX    01 19 027
3GE3   07 25 070
3KS2   18 36 178
3KS9   17 35 179
3LA4   12 30 122
3MO4   S  N  176
3ND6   9  27 097
3NE5   11 29 118
3O5    16 34 174
3OK5   18 36 186
3OL8   03 21 034
3S2    12 30 121
3SC4   08 26 060
3TA0   18 36 190
3TA5   01 19 010
3TA6   15 33 150
3TE    18 36 179
3TE    09 27 088
3TS1   02 20 020
3U2    17 35 191
3X5    08 26 022
3X5    01 19 002
41ME   2  20 012
42IA   18 36 180
42KY   18 36 179
42TT   14 32 134
42XA   15 33 153
43MN   15 33 147
43MT   13 31 145
43NC   01 19 006
43NH   H1 H1 045
44G    09 27 089
44SC   2  20 016
44XA   1  19 011
45CN   09 27 111
46CN   07 25 084
46N    01 19 001
47TX   11 29 116
48FA   13W31W130
48XS   13 31 138
48Y    15 33 153
49IL   09 27 090
49MT   10 28 114
4AK6   08 26 090
4AK6   18 36 202
4AR1   09 27 089
4AR2   09 27 093
4B0    01 19 353
4D8    09 27 090
4D8    18 36 180
4FA7   14 32 141
4G1    15 33 141
4G1    05 23 041
4G3    09 27 091
4G7    5  23 037
4K5    08 26 101
4KA    08 26 101
4LA3   15 33 157
4M5    01 19 018
4M8    18 36 181
4S5    17 35 180
4TA0   17 35 170
4TE9   08 26 080
4TS8   SE NW 135
4V8    01 19 350
4WA0   07 25 090
4WI4   16 34 162
50TX   13 31 136
50XS   13 31 137
51G    03 21 031
51G    14 32 139
51G    18 36 179
52AR   18 36 182
52B    14 32 122
52B    18 36 162
53K    17 35 180
54MU   17 35 173
54XA   18 36 180
55XS   01 19 017
56FD   18 36 180
56LA   18 36 184
56WI   09 27 094
57AZ   01 19 022
57FA   17 35 170
57GA   18 36 180
57MT   12 30 141
57MT   5  23 063
57XA   12 30 122
58CL   08 26 096
58MT   9  27 099
59AR   9  27 093
59FD   10 28 100
5AL5   18 36 180
5AR1   15 33 155
5AZ3   08 26 092
5B9    01 19 352
5CA7   16 34 175
5CL8   16 34 174
5F5    18 36 184
5G0    10 28 093
5K2    17 35 170
5KY4   13 31 137
5KY5   18 36 181
5KY7   17 35 166
5LL7   E  W  090
5M1    18 36 181
5MO    18 36 182
5MO6   18 36 180
5MS1   17 35 180
5MS5   03 21 030
5NC3   13 31 131
5P3    13 31 143
5TE0   15 33 157
5TE4   01 19 018
5TE5   16 34 168
5V4    17 35 180
5V8    04 22 052
5WA8   06 24 079
5Y0    03 21 032
5Y3    18 36 180
60A    05 23 055
60G    08 26 083
60OA   9  27 090
60TE   16 34 160
61D    09 27 089
61D    01 19 007
62FL   09 27 090
62NM   10 28 110
62NM   04 22 049
63NY   18 36 165
63XS   17 35 170
65LA   02 20 021
65MS   18 36 180
65XA   2  20 020
67CA   09 27 105
67MU   10 28 095
68CA   15 33 166
68IS   09 27 090
69N    01 19 001
69S    17 35 185
69TX   14 32 140
69WT   4W 22W059
69WT   15W33W165
6AR8   18 36 186
6AR8   09 27 097
6AR9   09 27 092
6B6    03 21 017
6C0    18 36 180
6D3    12 30 130
6F1    01 19 019
6FL3   01 19 010
6H4    09 27 094
6MN0   18 36 183
6MT4   11W29W123
6MU5   1  19 011
6NC1   03 21 031
6R1    07 25 072
